acc_no,origin,COUNTRY.of.origin
1190001,MAR,Morocco
1190002,CRT,Crete
1190003,IRN,Iran
1190004,IRQ,Iraq
1190005,AUS,Australia
1190006,AUS,Australia
1190007,AUS,Australia
1190008,PRT,Portugal
1190009,PRT,Portugal
1190010,IND,India
1190011,IND,India
1190012,IND,India
1190013,BGR,Bulgaria
1190014,YUG,Yugoslavia
1190015,YUG,Yugoslavia
1190016,ESP,Spain
1190017,ESP,Spain
1190018,IND,India
1190019,IND,India
1190020,IND,India
1190021,IND,India
1190022,AUS,Australia
1190023,AUS,Australia
1190024,AUS,Australia
1190025,AUS,Australia
1190026,AUS,Australia
1190027,AUS,Australia
1190028,AUS,Australia
1190029,AUS,Australia
1190030,AUS,Australia
1190031,AUS,Australia
1190032,IND,India
1190033,IND,India
1190034,IND,India
1190035,POL,Poland
1190036,POL,Poland
1190037,POL,Poland
1190038,POL,Poland
1190039,ITA,Italy
1190040,FRA,France
1190041,FRA,France
1190042,FRA,France
1190043,TUN,Tunisia
1190044,MAR,Morocco
1190045,SYR,Syria
1190046,CRT,Crete
1190047,ESP,Spain
1190048,ESP,Spain
1190049,ESP,Spain
1190050,ESP,Spain
1190051,ESP,Spain
1190052,ESP,Spain
1190053,ESP,Spain
1190054,ESP,Spain
1190055,ESP,Spain
1190056,ESP,Spain
1190057,PRT,Portugal
1190058,PRT,Portugal
1190059,PRT,Portugal
1190060,PRT,Portugal
1190061,ESP,Spain
1190062,ESP,Spain
1190063,ESP,Spain
1190064,ESP,Spain
1190065,ESP,Spain
1190066,ESP,Spain
1190067,ESP,Spain
1190068,,
1190069,ESP,Spain
1190070,ESP,Spain
1190071,BGR,Bulgaria
1190072,YUG,Yugoslavia
1190073,BGR,Bulgaria
1190074,YUG,Yugoslavia
1190075,YUG,Yugoslavia
1190076,YUG,Yugoslavia
1190077,YUG,Yugoslavia
1190078,YUG,Yugoslavia
1190079,IND,India
1190080,IND,India
1190081,IND,India
1190082,IND,India
1190083,ESP,Spain
1190084,ESP,Spain
1190085,ESP,Spain
1190086,IND,India
1190087,IND,India
1190088,POL,Poland
1190089,AUS,Australia
1190090,AUS,Australia
1190091,IND,India
1190092,IND,India
1190093,IND,India
1190094,IND,India
1190095,CHN,China
1190096,ROM,Romania
1190097,POL,Poland
1190098,POL,Poland
1190099,POL,Poland
1190100,POL,Poland
1190101,ITA,Italy
1190102,ITA,Italy
1190103,ITA,Italy
1190104,ITA,Italy
1190105,FRA,France
1190106,FRA,France
1190107,FRA,France
1190108,FRA,France
1190109,FRA,France
1190110,FRA,France
1190111,MAR,Morocco
1190112,TUR,Turkey
1190113,ESP,Spain
1190114,YUG,Yugoslavia
1190115,YUG,Yugoslavia
1190116,ESP,Spain
1190117,ESP,Spain
1190118,PRT,Portugal
1190119,IND,India
1190120,AUS,Australia
1190121,AUS,Australia
1190122,AUS,Australia
1190123,AUS,Australia
1190124,IND,India
1190125,IND,India
1190126,IND,India
1190127,IND,India
1190128,IND,India
1190129,IND,India
1190130,ESP,Spain
1190131,ESP,Spain
1190132,AUS,Australia
1190133,AUS,Australia
1190134,AUS,Australia
1190135,AUS,Australia
1190136,AUS,Australia
1190137,AUS,Australia
1190138,AUS,Australia
1190139,FRA,France
1190140,TUR,Turkey
1190141,CHN,China
1190142,MAR,Morocco
1190143,ESP,Spain
1190144,ESP,Spain
1190145,ESP,Spain
1190146,ESP,Spain
1190147,IRQ,Iraq
1190148,AUS,Australia
1190149,GBR,United Kingdom
1190150,GBR,United Kingdom
1190151,PRT,Portugal
1190152,PRT,Portugal
1190153,PRT,Portugal
1190154,PRT,Portugal
1190155,PRT,Portugal
1190156,YUG,Yugoslavia
1190157,YUG,Yugoslavia
1190158,GRC,Greece
1190159,BGR,Bulgaria
1190160,ESP,Spain
1190161,ESP,Spain
1190162,ESP,Spain
1190163,ESP,Spain
1190164,IND,India
1190165,IND,India
1190166,IND,India
1190167,IND,India
1190168,CHN,China
