Taxa	HeadingDate	PlantHeight
1190004	84	95.5
1190005	85	93
1190006	87.33	87.67
1190007	83.75	88.25
1190008	85.33	100
1190009	94	103.25
1190010	87.25	97.25
1190011	82	96.25
1190012	90.5	89
1190013	94.25	88.5
1190014	104	82.25
1190015	102.75	83.5
1190016	98.25	104
1190017	100.75	98.75
1190018	91.25	87.75
1190019	91	90
1190020	90.75	86
1190021	90.5	89.5
1190022	90.5	104
1190023	89	92
1190024	86	75
1190025	83.25	89.25
1190026	90	110.5
1190027	92	117.25
1190028	82	83
1190029	86	89.25
1190030	88.25	92.75
1190031	95.5	88.5
1190032	94.75	92
1190033	87	92
1190034	79	83
1190035	86	80.5
1190036	109	79.25
1190037	113	91
1190038	112.25	92.25
1190039	107.5	84.5
1190040	110	77.75
1190041	109.75	83.5
1190042	108	72.67
1190043	94.75	110.5
1190044	100.75	96
1190045	102.5	97.5
1190046	95.75	78.33
1190047	93	107.5
1190048	94	106
1190049	95	97.25
1190050	98	110.5
1190051	94	110.5
1190052	102.25	77
1190053	91.75	105.25
1190054	88	106.5
1190055	94	103.5
1190056	83	85.5
1190057	107	111.5
1190058	90.25	100.75
1190059	84	102
1190060	97.5	114.25
1190061	95.75	120.67
1190062	99	85
1190063	94.5	108.25
1190064	96	113.75
1190065	99	109.75
1190066	97.5	109.5
1190067	104	101.5
1190068	104.5	111.75
1190069	99.75	98
1190070	95	109
1190071	102.5	91.25
1190072	106.25	96.75
1190073	105.5	106
1190074	108	100.25
1190075	112.5	83.75
1190076	121	70.5
1190077	96	97.25
1190078	108	105
1190079	100.75	96.5
1190080	93.75	120.25
1190081	87.25	102.75
1190082	90.25	93.75
1190083	92.5	120.25
1190084	99.5	104.5
1190085	88	105.5
1190086	93.5	122
1190087	89.5	113.5
1190088	84	103.25
1190089	89.25	105
1190090	84	95.33
1190091	111.5	84.75
1190092	113.5	78
1190093	86	88.5
1190094	88	111.5
1190095	116.75	79.75
1190096	112.75	89.33
1190097	NaN	NaN
1190098	106.5	104.5
1190099	96	116
1190100	95	105.5
1190101	NaN	NaN
1190102	94.5	109.25
1190103	93.5	116.25
1190104	103.5	94.5
1190105	108	94.5
1190106	93.25	110.75
1190107	96	89
1190108	95	109.75
1190109	95	114.33
1190110	115.25	101.25
1190111	98.5	115.5
1190112	104.75	108
1190113	107	103.25
1190114	107.5	103
1190115	95	108.25
1190116	97.75	107.75
1190117	99.75	110.25
1190118	113	102.75
1190119	113	96
1190120	89.25	116
1190121	88	95.5
1190122	80	89.75
1190123	98.75	103.25
1190124	87.5	79
1190125	82	84.25
1190126	82	79
1190127	89.25	109.5
1190128	97.25	92
1190129	89	99.75
1190130	105	99
1190131	103	96.75
1190132	88.67	89.33
1190133	86	102.75
1190134	96	98.75
1190135	88	101.5
1190136	88	101.25
1190137	87	88.25
1190138	90.75	100.75
1190139	95.25	110.25
1190140	95.75	111.75
1190141	91	125.5
1190142	104.25	113.5
1190143	95.5	97.75
1190144	98	115.25
1190145	94.25	115.5
1190146	89.25	116
1190147	88	94.5
1190148	109	94.75
1190149	96.5	111.5
1190150	96.5	108.67
1190151	95.5	98.25
1190152	100	112
1190153	85	100.75
1190154	101.25	114.25
1190155	97.75	104.5
1190156	103.25	111.75
1190157	108	104
1190158	111.5	100
1190159	110.5	108.5
1190160	105	112
1190161	105	109.25
1190162	100.75	102.25
1190163	96.75	113.5
1190164	98.25	108.25
1190165	102	113
1190166	108	103.75
1190167	95.5	93.5
1190168	91.25	115.75
1190169	90.75	109
1190170	92.75	120
1190171	108	120.75
1190172	89	118.75
1190173	91	125.75
1190174	87	101.5
1190175	106.5	110.5
1190176	100	85.75
1190177	85	100.25
1190178	108.33	96.25
1190179	103.67	94.5
1190180	93.5	114.75
1190181	117.75	99.25
1190182	117	80
1190183	93	109.25
1190184	93	107.5
1190185	115	84.75
1190186	105	98
1190187	97	114.75
1190188	106	92.75
1190189	100	100
1190190	92	93.75
1190191	93	75.75
1190192	102.75	98.75
1190193	100.5	99.25
1190194	99.25	111.75
1190195	101	91.5
1190196	110.75	89
1190197	110.25	83.5
1190198	94.25	117.25
1190199	83.25	71.25
1190200	113	82
1190201	98	115.25
1190202	96.25	123.5
1190203	110.25	87
1190204	99.5	120.25
1190205	95	119.5
1190206	96	124
1190207	94.75	104.5
1190208	93.75	103
1190209	79	97.25
1190210	85.75	98.75
1190211	98	128
1190212	92	113.5
1190213	94	114.5
1190214	85	103.25
1190215	85.25	101.25
1190216	85.5	99.5
1190217	85	97.5
1190218	87	110.75
1190219	94	97.25
1190220	92.25	116.25
1190221	98.5	107
1190222	87	105.25
1190223	83	96.25
1190224	97.75	105.25
1190225	94.25	106.75
1190226	89.25	107.5
1190227	104.75	109.75
1190228	96	103
1190229	94	108.75
1190230	91	102.5
1190231	110	95.25
1190232	88	117.25
1190233	94	102.5
1190234	112.5	86.5
1190235	113.33	79.5
1190236	110.25	87.5
1190237	101.25	97.25
1190238	85.5	107.5
1190239	91	109.75
1190240	88	99
1190241	102.75	86.5
1190242	88.25	98
1190243	86.75	108.25
1190244	86	117.5
1190245	84.5	84.5
1190246	83	83.25
1190247	86	88.75
1190248	93.5	113.75
1190249	88	101
1190250	91	96
1190251	87	92.75
1190252	88	98.5
1190253	88	103
1190254	91.25	96
1190255	94.25	96
1190256	96.75	80
1190257	91.5	87.25
1190258	89.75	95.75
1190259	85	85.25
1190260	87	92.25
1190261	85	80
1190262	85	82.5
1190263	85	76.25
1190264	87.75	89.5
1190265	92	102.25
1190266	98.5	106
1190267	103	97
1190268	103.5	106.5
1190269	95	117.5
1190270	101	94.25
1190271	90	103.25
1190272	103.75	93.5
1190273	87	102
1190274	92.5	92.75
1190275	101	91
1190276	103	84.75
1190277	96.25	87.25
1190278	89.5	60.33
1190279	94.75	96.25
1190280	85	76.75
1190281	88.5	94
1190282	93.75	102
1190283	90	91.25
1190284	94.25	100
1190285	94	95
1190286	104	79.25
1190287	90.75	95
1190288	103.25	80.5
1190289	87	97.25
1190290	85	77.75
1190291	88	87
1190292	85	60.75
1190293	83	78.75
1190294	88	101.75
1190295	85	86.5
1190296	83	84.5
1190297	82.5	87.5
1190298	80	78.25
1190299	84.5	83
1190300	88	89.5
1190301	101.5	97
1190302	83.75	84.5
1190303	85	88
1190304	83	84
1190305	81	78.25
1190306	82	79.75
1190307	101.25	NaN
1190308	88	80.75
1190309	107	NaN
1190310	98	NaN
1190311	97	NaN
1190312	97	NaN
1190313	96	NaN
1190314	84	95
1190315	91	113
1190316	83.5	106
1190317	95.67	100
1190318	88	100.75
1190319	95.25	81.5
1190320	102.33	82
1190321	89.5	116.25
1190322	85.33	104
1190323	110.25	74.5
1190324	110.25	74.25
1190325	110	71
1190326	83	81.25
1190327	85	83
1190328	93.25	95
1190329	117.25	73
1190330	120.25	75.75
1190331	120.33	74.5
1190332	NaN	69.67
1190333	NaN	68
1190334	98.5	94.25
1190335	104	84.75
1190336	113.5	91.75
1190337	107	90.25
1190338	107.75	96
1190339	92.25	98.25
1190340	103.5	93.75
1190341	99.75	97
1190342	112.5	85
1190343	106	101.25
1190344	89.75	109
1190345	106.75	87.25
1190346	104.25	92.75
1190347	107	96.25
1190348	99	100
1190349	99.75	105.75
1190351	87	108.25
1190352	95	137.5
1190353	97	114
1190354	102.25	106.5
1190355	103.25	85.5
1190356	100	114.25
1190357	102.25	104.25
1190358	108.5	94.5
1190359	95	103
1190360	106	96.25
1190361	104	105.75
1190362	104.75	100.75
1190363	102.5	106.25
1190364	103	109
1190365	93.75	110.75
1190366	102.5	114
1190367	95	103.33
1190368	101	106.25
1190369	101	101.5
1190370	95.75	109.25
1190371	111	100.5
1190372	107.25	107.75
1190373	96.75	111.5
1190374	99.5	103
1190375	86	96
1190376	98.5	89.5
1190377	91	107.75
1190378	92.5	104.25
1190379	88.75	96.75
1190380	87	102
1190381	99.25	97.5
1190382	106.5	109
1190383	109	107.75
1190384	108.75	94
1190385	NaN	NaN
1190386	103	110.5
1190387	93.5	100.75
1190388	88	108.25
1190389	90.5	110
1190390	100	111.25
1190391	99.25	121
1190392	87	106.25
1190393	89	112.25
1190394	85	118.75
1190395	95	108.25
1190396	101.5	105.25
1190397	94.75	125.25
1190398	77.5	70
1190399	91.25	114.25
1190400	89.75	109.75
1190401	90.75	97.25
1190402	109.25	96
1190403	93.5	96.67
1190404	91.25	105.25
1190405	87	88.5
1190406	96	116.25
1190407	88	116
1190408	119	83
1190409	94	96.5
1190410	100	105
1190411	96.75	120.75
1190412	95	113
1190413	103	106.25
1190414	94.25	105.25
1190415	81.25	81.75
1190416	98.25	118
1190417	101	113
1190418	108	94.75
1190419	88	101
1190420	94	110
1190421	95	105.75
1190422	88	104.25
1190423	89.75	112
1190424	84.75	85.75
1190425	102.5	112.75
1190426	95	115.75
1190427	86	93.5
1190428	91	101.5
1190429	86	98.25
1190430	82	92.75
1190431	84.5	97.5
1190432	84	103.5
1190433	83	97
1190434	88.75	109.5
1190435	93	97
1190436	107	92.33
1190437	95.5	109
1190438	110.5	78.5
1190439	95	92.75
1190440	89.5	92.75
1190441	86	108.25
1190442	88	117.5
1190443	88.25	102.25
1190444	91.25	103.75
1190445	88	107
1190446	95	78.5
1190447	104	85
1190448	101	86.5
1190449	85	102.25
1190450	104	85
1190451	105	88
