"Taxa","PlantHeight","COUNTRY.of.origin"
1190004,95.5,"Iraq"
1190005,93,"Australia"
1190006,87.67,"Australia"
1190007,88.25,"Australia"
1190008,100,"Portugal"
1190009,103.25,"Portugal"
1190010,97.25,"India"
1190011,96.25,"India"
1190012,89,"India"
1190013,88.5,"Bulgaria"
1190014,82.25,"Yugoslavia"
1190015,83.5,"Yugoslavia"
1190016,104,"Spain"
1190017,98.75,"Spain"
1190018,87.75,"India"
1190019,90,"India"
1190020,86,"India"
1190021,89.5,"India"
1190022,104,"Australia"
1190023,92,"Australia"
1190024,75,"Australia"
1190025,89.25,"Australia"
1190026,110.5,"Australia"
1190027,117.25,"Australia"
1190028,83,"Australia"
1190029,89.25,"Australia"
1190030,92.75,"Australia"
1190031,88.5,"Australia"
1190032,92,"India"
1190033,92,"India"
1190034,83,"India"
1190035,80.5,"Poland"
1190036,79.25,"Poland"
1190037,91,"Poland"
1190038,92.25,"Poland"
1190039,84.5,"Italy"
1190040,77.75,"France"
1190041,83.5,"France"
1190042,72.67,"France"
1190043,110.5,"Tunisia"
1190044,96,"Morocco"
1190045,97.5,"Syria"
1190046,78.33,"Crete"
1190047,107.5,"Spain"
1190048,106,"Spain"
1190049,97.25,"Spain"
1190050,110.5,"Spain"
1190051,110.5,"Spain"
1190052,77,"Spain"
1190053,105.25,"Spain"
1190054,106.5,"Spain"
1190055,103.5,"Spain"
1190056,85.5,"Spain"
1190057,111.5,"Portugal"
1190058,100.75,"Portugal"
1190059,102,"Portugal"
1190060,114.25,"Portugal"
1190061,120.67,"Spain"
1190062,85,"Spain"
1190063,108.25,"Spain"
1190064,113.75,"Spain"
1190065,109.75,"Spain"
1190066,109.5,"Spain"
1190067,101.5,"Spain"
1190068,111.75,""
1190069,98,"Spain"
1190070,109,"Spain"
1190071,91.25,"Bulgaria"
1190072,96.75,"Yugoslavia"
1190073,106,"Bulgaria"
1190074,100.25,"Yugoslavia"
1190075,83.75,"Yugoslavia"
1190076,70.5,"Yugoslavia"
1190077,97.25,"Yugoslavia"
1190078,105,"Yugoslavia"
1190079,96.5,"India"
1190080,120.25,"India"
1190081,102.75,"India"
1190082,93.75,"India"
1190083,120.25,"Spain"
1190084,104.5,"Spain"
1190085,105.5,"Spain"
1190086,122,"India"
1190087,113.5,"India"
1190088,103.25,"Poland"
1190089,105,"Australia"
1190090,95.33,"Australia"
1190091,84.75,"India"
1190092,78,"India"
1190093,88.5,"India"
1190094,111.5,"India"
1190095,79.75,"China"
1190096,89.33,"Romania"
1190098,104.5,"Poland"
1190102,109.25,"Italy"
1190103,116.25,"Italy"
1190104,94.5,"Italy"
1190105,94.5,"France"
1190106,110.75,"France"
1190107,89,"France"
1190108,109.75,"France"
1190109,114.33,"France"
1190110,101.25,"France"
1190111,115.5,"Morocco"
1190112,108,"Turkey"
1190113,103.25,"Spain"
1190114,103,"Yugoslavia"
1190115,108.25,"Yugoslavia"
1190116,107.75,"Spain"
1190117,110.25,"Spain"
1190118,102.75,"Portugal"
1190119,96,"India"
1190120,116,"Australia"
1190121,95.5,"Australia"
1190122,89.75,"Australia"
1190123,103.25,"Australia"
1190124,79,"India"
1190125,84.25,"India"
1190126,79,"India"
1190127,109.5,"India"
1190128,92,"India"
1190129,99.75,"India"
1190130,99,"Spain"
1190131,96.75,"Spain"
1190132,89.33,"Australia"
1190133,102.75,"Australia"
1190134,98.75,"Australia"
1190135,101.5,"Australia"
1190136,101.25,"Australia"
1190137,88.25,"Australia"
1190138,100.75,"Australia"
1190139,110.25,"France"
1190140,111.75,"Turkey"
1190141,125.5,"China"
1190142,113.5,"Morocco"
1190143,97.75,"Spain"
1190144,115.25,"Spain"
1190146,116,"Spain"
1190147,94.5,"Iraq"
1190148,94.75,"Australia"
1190149,111.5,"United Kingdom"
1190150,108.67,"United Kingdom"
1190151,98.25,"Portugal"
1190152,112,"Portugal"
1190153,100.75,"Portugal"
1190154,114.25,"Portugal"
1190155,104.5,"Portugal"
1190156,111.75,"Yugoslavia"
1190157,104,"Yugoslavia"
1190158,100,"Greece"
1190159,108.5,"Bulgaria"
1190160,112,"Spain"
1190161,109.25,"Spain"
1190162,102.25,"Spain"
1190163,113.5,"Spain"
1190165,113,"India"
1190166,103.75,"India"
1190167,93.5,"India"
1190168,115.75,"China"
1190169,109,"China"
1190170,120,"China"
1190171,120.75,"China"
1190172,118.75,"India"
1190173,125.75,"Australia"
1190174,101.5,"India"
1190175,110.5,"China"
1190176,85.75,"Afghanistan"
1190177,100.25,"Portugal"
1190178,96.25,"Yugoslavia"
1190179,94.5,"Greece"
1190180,114.75,"Spain"
1190181,99.25,"Poland"
1190182,80,"Poland"
1190183,109.25,"Poland"
1190184,107.5,"Poland"
1190185,84.75,"Italy"
1190186,98,"Italy"
1190187,114.75,"Italy"
1190188,92.75,"France"
1190189,100,"France"
1190190,93.75,"France"
1190191,75.75,"France"
1190192,98.75,"France"
1190193,99.25,"France"
1190194,111.75,"France"
1190195,91.5,"India"
1190196,89,""
1190197,83.5,"India"
1190198,117.25,"India"
1190199,71.25,"India"
1190200,82,"France"
1190201,115.25,"Spain"
1190202,123.5,"Spain"
1190203,87,"India"
1190204,120.25,"India"
1190205,119.5,"India"
1190206,124,"India"
1190207,104.5,"Iran"
1190208,103,"India"
1190209,97.25,"Egypt"
1190210,98.75,"India"
1190211,128,"France"
1190212,113.5,"Morocco"
1190213,114.5,"Morocco"
1190214,103.25,"Morocco"
1190215,101.25,"Morocco"
1190216,99.5,"Morocco"
1190217,97.5,"Morocco"
1190218,110.75,"Tunisia"
1190219,97.25,"Spain"
1190220,116.25,"Spain"
1190221,107,"Spain"
1190222,105.25,"Crete"
1190223,96.25,"Burma"
1190224,105.25,"China"
1190225,106.75,"Canary Islands"
1190226,107.5,"Spain"
1190227,109.75,"Spain"
1190228,103,"Spain"
1190229,108.75,"Portugal"
1190230,102.5,"Portugal"
1190231,95.25,"Hungary"
1190232,117.25,"India"
1190233,102.5,"India"
1190234,86.5,"Yugoslavia"
1190235,79.5,"Greece"
1190236,87.5,"Greece"
1190237,97.25,"Iran"
1190238,107.5,"Iran"
1190239,109.75,"Spain"
1190240,99,"Iran"
1190241,86.5,"India"
1190242,98,"India"
1190243,108.25,"India"
1190244,117.5,"India"
1190245,84.5,"Australia"
1190246,83.25,"India"
1190247,88.75,"India"
1190248,113.75,"India"
1190249,101,"India"
1190250,96,"China"
1190251,92.75,"Australia"
1190252,98.5,"Algeria"
1190253,103,"Morocco"
1190254,96,"Morocco"
1190255,96,"Tunisia"
1190256,80,"Tunisia"
1190257,87.25,"Tunisia"
1190258,95.75,"Morocco"
1190259,85.25,"Morocco"
1190260,92.25,"Canary Islands"
1190261,80,"Canary Islands"
1190262,82.5,"Canary Islands"
1190263,76.25,"Canary Islands"
1190264,89.5,"Canary Islands"
1190265,102.25,"Canary Islands"
1190266,106,"Spain"
1190267,97,"Spain"
1190268,106.5,"Spain"
1190269,117.5,"Spain"
1190270,94.25,"Spain"
1190271,103.25,"Spain"
1190272,93.5,"Spain"
1190273,102,"Spain"
1190274,92.75,"Spain"
1190275,91,"Spain"
1190276,84.75,"Spain"
1190277,87.25,"Spain"
1190278,60.33,"Spain"
1190279,96.25,"Spain"
1190280,76.75,"Spain"
1190281,94,"Greece"
1190282,102,"Greece"
1190283,91.25,"Greece"
1190284,100,"Greece"
1190285,95,"Greece"
1190286,79.25,"Greece"
1190287,95,"Crete"
1190288,80.5,"Crete"
1190289,97.25,"Crete"
1190290,77.75,"Crete"
1190291,87,"Cyprus"
1190292,60.75,"Cyprus"
1190293,78.75,"Turkey"
1190294,101.75,"Turkey"
1190295,86.5,"Turkey"
1190296,84.5,"Turkey"
1190297,87.5,"Turkey"
1190298,78.25,"Turkey"
1190299,83,"Turkey"
1190300,89.5,"Turkey"
1190301,97,"Turkey"
1190302,84.5,"Syria"
1190303,88,"Syria"
1190304,84,"Syria"
1190305,78.25,"Egypt"
1190306,79.75,"Iraq"
1190308,80.75,"Iran"
1190314,95,"China"
1190315,113,"China"
1190316,106,"China"
1190317,100,"China"
1190318,100.75,"China"
1190319,81.5,"China"
1190320,82,"China"
1190321,116.25,"China"
1190322,104,"China"
1190323,74.5,"China"
1190324,74.25,"China"
1190325,71,"United Kingdom"
1190326,81.25,"Australia"
1190327,83,"Palestine"
1190328,95,"Egypt"
1190329,73,""
1190330,75.75,"Egypt"
1190331,74.5,"Brazil"
1190332,69.67,""
1190333,68,""
1190334,94.25,""
1190335,84.75,""
1190336,91.75,"Hungary"
1190337,90.25,"Hungary"
1190338,96,"Hungary"
1190339,98.25,"Portugal"
1190340,93.75,"Spain"
1190341,97,"Spain"
1190342,85,"Spain"
1190343,101.25,"Spain"
1190344,109,"Spain"
1190345,87.25,"Bulgaria"
1190346,92.75,"Bulgaria"
1190347,96.25,"Bulgaria"
1190348,100,"Bulgaria"
1190349,105.75,"Bulgaria"
1190351,108.25,"Yugoslavia"
1190352,137.5,"Yugoslavia"
1190353,114,"Yugoslavia"
1190354,106.5,"Yugoslavia"
1190355,85.5,"Yugoslavia"
1190356,114.25,"Yugoslavia"
1190357,104.25,"Yugoslavia"
1190358,94.5,"Yugoslavia"
1190359,103,"Yugoslavia"
1190360,96.25,"Yugoslavia"
1190361,105.75,"Yugoslavia"
1190362,100.75,"Yugoslavia"
1190363,106.25,"Yugoslavia"
1190364,109,"Yugoslavia"
1190365,110.75,"Yugoslavia"
1190366,114,"Yugoslavia"
1190367,103.33,"Bulgaria"
1190368,106.25,"Yugoslavia"
1190369,101.5,"Yugoslavia"
1190370,109.25,"Yugoslavia"
1190371,100.5,"Yugoslavia"
1190372,107.75,"Yugoslavia"
1190373,111.5,"Iran"
1190374,103,"Iran"
1190375,96,"Iran"
1190376,89.5,"Iran"
1190377,107.75,"Iran"
1190378,104.25,"Iran"
1190379,96.75,"Iran"
1190380,102,"Iran"
1190381,97.5,"India"
1190382,109,"India"
1190383,107.75,"Greece"
1190384,94,"Greece"
1190386,110.5,"Spain"
1190387,100.75,"Spain"
1190388,108.25,"Spain"
1190389,110,"Portugal"
1190390,111.25,"Portugal"
1190391,121,"Portugal"
1190392,106.25,"Portugal"
1190393,112.25,"Portugal"
1190394,118.75,"Portugal"
1190395,108.25,"Portugal"
1190396,105.25,"Portugal"
1190397,125.25,"Portugal"
1190398,70,"Palestine"
1190399,114.25,"China"
1190400,109.75,"China"
1190401,97.25,"Portugal"
1190402,96,"Greece"
1190403,96.67,"Spain"
1190404,105.25,"Iran"
1190405,88.5,"Iran"
1190406,116.25,"India"
1190407,116,"India"
1190408,83,"India"
1190409,96.5,"India"
1190410,105,"India"
1190411,120.75,"India"
1190412,113,"India"
1190413,106.25,"India"
1190414,105.25,"India"
1190415,81.75,"India"
1190416,118,"India"
1190417,113,"India"
1190418,94.75,"India"
1190419,101,"India"
1190420,110,"India"
1190421,105.75,"India"
1190422,104.25,"India"
1190423,112,"India"
1190424,85.75,"India"
1190425,112.75,"India"
1190426,115.75,"India"
1190427,93.5,"India"
1190428,101.5,"India"
1190429,98.25,"India"
1190430,92.75,"India"
1190431,97.5,"India"
1190432,103.5,"India"
1190433,97,"India"
1190434,109.5,"China"
1190435,97,"China"
1190436,92.33,"China"
1190437,109,"China"
1190438,78.5,"China"
1190439,92.75,"China"
1190440,92.75,"China"
1190441,108.25,"China"
1190442,117.5,"China"
1190443,102.25,"China"
1190444,103.75,"China"
1190445,107,"China"
1190446,78.5,"China"
1190447,85,"China"
1190448,86.5,"Romania"
1190449,102.25,"Romania"
1190450,85,"Romania"
1190451,88,"Romania"
1190452,78.5,"Afghanistan"
1190453,93.5,"Afghanistan"
1190454,97,"Afghanistan"
1190455,96.5,"Afghanistan"
1190456,97.75,"Afghanistan"
1190457,97.5,"Afghanistan"
1190458,92.25,"Afghanistan"
1190459,100,"Afghanistan"
1190460,106,"Afghanistan"
1190461,85.5,"Afghanistan"
1190462,79.75,"Afghanistan"
1190463,89,"Afghanistan"
1190464,99.25,"Afghanistan"
1190465,80.75,"Afghanistan"
1190466,84,"Afghanistan"
1190467,89,"Afghanistan"
1190468,75.25,"Afghanistan"
1190469,99.25,"Afghanistan"
1190470,80.75,"Afghanistan"
1190471,93.75,"Afghanistan"
1190472,81.25,"Afghanistan"
1190473,93.25,"Afghanistan"
1190474,78,"Afghanistan"
1190475,96,"Afghanistan"
1190476,83.75,"Afghanistan"
1190477,89.75,"Portugal"
1190478,97.75,"Afghanistan"
1190479,91.5,"Poland"
1190481,76.25,"Poland"
1190482,74,"Poland"
1190483,106,"Poland"
1190484,104.25,"Italy"
1190485,99,"Algeria"
1190486,108.75,"USSR"
1190487,100.25,"USSR"
1190488,97.5,"USSR"
1190489,97.25,"USSR"
1190490,117.5,"France"
1190491,117,"France"
1190492,108.25,"Spain"
1190493,122.25,"Tunisia"
1190494,105.5,"Spain"
1190495,94.25,"Morocco"
1190496,99.5,"Morocco"
1190497,108.5,"Morocco"
1190498,109.75,"Turkey"
1190499,100,"Turkey"
1190500,81,"Iraq"
1190501,101.5,"Iraq"
1190502,102.25,"Burma"
1190503,81.33,"Burma"
1190504,104.25,"China"
1190505,113,"Iran"
1190506,106.75,"Iran"
1190507,106.5,"Australia"
1190508,101,"Greece"
1190509,112.5,"Portugal"
1190510,102.5,"Portugal"
1190511,122.25,"India"
1190512,106.75,"India"
1190513,111.25,"Iran"
1190514,106.33,"Iran"
1190515,93.75,"Iran"
1190516,105.75,"India"
1190517,96.25,"India"
1190518,76,"India"
1190519,118.5,"India"
1190520,96,"India"
