"taxa","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","COUNTRY.of.origin","Region"
"1190001",-17.0547197035494,24.7945857521377,-23.5439135867107,-0.816006777218592,9.66036173495565,-22.8887281127233,10.9012576629278,-8.49017001929122,6.48421304957664,-11.6466020289246,NA,"Other/Unknown"
"1190002",-16.8602419753457,24.6450082407869,-23.2737448503123,-0.81853905538637,9.82080596613169,-22.7167851786275,10.8936815134432,-8.21342507737595,6.17727437551222,-11.6497788445656,NA,"Other/Unknown"
"1190003",49.133326429531,10.7483073494632,5.9440014247091,-6.18975810677262,-13.1266454718236,-6.36294821035688,-1.4582107544293,-6.86436942789313,2.57852262917575,-7.14607443391593,NA,"Other/Unknown"
"1190003.1",-13.3143032688771,-22.0622977357404,14.5249692000726,-9.63498478165951,13.9105040649594,-0.967536426428372,2.07442470727903,-11.357274229207,14.1506895905309,2.63363019260252,NA,"Other/Unknown"
"1190004",2.507573723325,12.5034219401785,-16.730509631965,-0.47909863931108,7.27927823912047,-18.2926436919726,7.07281696920567,-9.38412003725841,7.06729745385535,-9.9402214624878,"Iraq","Other/Unknown"
"1190005",-29.8561704527857,33.0693339047527,-30.8681631511332,-3.17180496308433,4.51920131213516,1.05943289820977,11.4369071806496,-6.22213602234642,0.866074031399512,-4.11251452093816,"Australia","Oceania"
"1190006",-19.6506471944299,30.6027145467487,-19.3254824159459,2.14702151406276,17.1177569705851,-2.15498064662252,8.48313787092232,-18.9419806599411,-0.608120402386067,-1.05634739157262,"Australia","Oceania"
"1190007",-20.8744729923474,18.5305578851999,-32.012884966362,-1.91328118187349,-2.95656197644379,1.37443362858681,16.2097363367808,-6.73750754435465,4.07461428807053,-1.8810605415867,"Australia","Oceania"
"1190008",-30.0541518894715,41.8962443791277,-29.8732656149708,-5.31920901878182,9.55557852867941,-10.4189834312073,7.55561102224657,0.0293630496291811,-0.177251202961461,-5.05555182577574,"Portugal","Western/Southern Europe"
"1190009",-37.6046614680687,29.2786302202545,-7.14591179044881,1.25682686622132,12.6880929150258,9.48257736948247,6.19963559757369,-4.59580520802273,0.393552809644074,4.40249677580709,"Portugal","Western/Southern Europe"
"1190010",-12.1295263204233,6.1228649175386,-12.362074809875,2.77594489538248,0.838128725004721,1.78401549517282,10.0699575805628,-6.45721407667997,-0.81875647644956,9.27509193284349,"India","South/Central Asia"
"1190011",12.7784426566984,-25.4253715801404,-15.0723308726863,-4.31819353340308,8.86519045860373,-18.7448564690543,-11.4524530569547,-10.5413354574979,-10.9649528558601,3.38693034069543,"India","South/Central Asia"
