"Taxa","HeadingDate","PlantHeight","COUNTRY.of.origin"
1190004,84,95.5,"Iraq"
1190005,85,93,"Australia"
1190006,87.33,87.67,"Australia"
1190007,83.75,88.25,"Australia"
1190008,85.33,100,"Portugal"
1190009,94,103.25,"Portugal"
1190010,87.25,97.25,"India"
1190011,82,96.25,"India"
1190012,90.5,89,"India"
1190013,94.25,88.5,"Bulgaria"
1190014,104,82.25,"Yugoslavia"
1190015,102.75,83.5,"Yugoslavia"
1190016,98.25,104,"Spain"
1190017,100.75,98.75,"Spain"
1190018,91.25,87.75,"India"
1190019,91,90,"India"
1190020,90.75,86,"India"
1190021,90.5,89.5,"India"
1190022,90.5,104,"Australia"
1190023,89,92,"Australia"
1190024,86,75,"Australia"
1190025,83.25,89.25,"Australia"
1190026,90,110.5,"Australia"
1190027,92,117.25,"Australia"
1190028,82,83,"Australia"
1190029,86,89.25,"Australia"
1190030,88.25,92.75,"Australia"
1190031,95.5,88.5,"Australia"
1190032,94.75,92,"India"
1190033,87,92,"India"
1190034,79,83,"India"
1190035,86,80.5,"Poland"
1190036,109,79.25,"Poland"
1190037,113,91,"Poland"
1190038,112.25,92.25,"Poland"
1190039,107.5,84.5,"Italy"
1190040,110,77.75,"France"
1190041,109.75,83.5,"France"
1190042,108,72.67,"France"
1190043,94.75,110.5,"Tunisia"
1190044,100.75,96,"Morocco"
1190045,102.5,97.5,"Syria"
1190046,95.75,78.33,"Crete"
1190047,93,107.5,"Spain"
1190048,94,106,"Spain"
1190049,95,97.25,"Spain"
1190050,98,110.5,"Spain"
1190051,94,110.5,"Spain"
1190052,102.25,77,"Spain"
1190053,91.75,105.25,"Spain"
1190054,88,106.5,"Spain"
1190055,94,103.5,"Spain"
1190056,83,85.5,"Spain"
1190057,107,111.5,"Portugal"
1190058,90.25,100.75,"Portugal"
1190059,84,102,"Portugal"
1190060,97.5,114.25,"Portugal"
1190061,95.75,120.67,"Spain"
1190062,99,85,"Spain"
1190063,94.5,108.25,"Spain"
1190064,96,113.75,"Spain"
1190065,99,109.75,"Spain"
1190066,97.5,109.5,"Spain"
1190067,104,101.5,"Spain"
1190068,104.5,111.75,""
1190069,99.75,98,"Spain"
1190070,95,109,"Spain"
1190071,102.5,91.25,"Bulgaria"
1190072,106.25,96.75,"Yugoslavia"
1190073,105.5,106,"Bulgaria"
1190074,108,100.25,"Yugoslavia"
1190075,112.5,83.75,"Yugoslavia"
1190076,121,70.5,"Yugoslavia"
1190077,96,97.25,"Yugoslavia"
1190078,108,105,"Yugoslavia"
1190079,100.75,96.5,"India"
1190080,93.75,120.25,"India"
1190081,87.25,102.75,"India"
1190082,90.25,93.75,"India"
1190083,92.5,120.25,"Spain"
1190084,99.5,104.5,"Spain"
1190085,88,105.5,"Spain"
1190086,93.5,122,"India"
1190087,89.5,113.5,"India"
1190088,84,103.25,"Poland"
1190089,89.25,105,"Australia"
1190090,84,95.33,"Australia"
1190091,111.5,84.75,"India"
1190092,113.5,78,"India"
1190093,86,88.5,"India"
1190094,88,111.5,"India"
1190095,116.75,79.75,"China"
1190096,112.75,89.33,"Romania"
1190098,106.5,104.5,"Poland"
1190102,94.5,109.25,"Italy"
1190103,93.5,116.25,"Italy"
1190104,103.5,94.5,"Italy"
1190105,108,94.5,"France"
1190106,93.25,110.75,"France"
1190107,96,89,"France"
1190108,95,109.75,"France"
1190109,95,114.33,"France"
1190110,115.25,101.25,"France"
1190111,98.5,115.5,"Morocco"
1190112,104.75,108,"Turkey"
1190113,107,103.25,"Spain"
1190114,107.5,103,"Yugoslavia"
1190115,95,108.25,"Yugoslavia"
1190116,97.75,107.75,"Spain"
1190117,99.75,110.25,"Spain"
1190118,113,102.75,"Portugal"
1190119,113,96,"India"
1190120,89.25,116,"Australia"
1190121,88,95.5,"Australia"
1190122,80,89.75,"Australia"
1190123,98.75,103.25,"Australia"
1190124,87.5,79,"India"
1190125,82,84.25,"India"
1190126,82,79,"India"
1190127,89.25,109.5,"India"
1190128,97.25,92,"India"
1190129,89,99.75,"India"
1190130,105,99,"Spain"
1190131,103,96.75,"Spain"
1190132,88.67,89.33,"Australia"
